Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities
kAFL,local_repos/kAFL,Yes,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SQL Injection']"
httpdump,local_repos/httpdump,No,,"RCE, Header Injection","This repository provides header injection, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'XSS', 'SQL Injection']"
gin,local_repos/gin,No,,RCE,"This repository provides header injection, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'XSS', 'SSRF']"
jonluca_Anubis,local_repos/jonluca_Anubis,Yes,,RCE,"This repository provides lfi/rfi, header injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'SSRF']"
moco,local_repos/moco,No,,RCE,"This repository provides ssrf, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'RCE', 'XSS', 'LFI/RFI']"
AIlice,local_repos/AIlice,Yes,5000,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 5000 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'XSS', 'Deserialization', 'SQL Injection', 'Header Injection']"
hooker,local_repos/hooker,No,,"RCE, SQL Injection","This repository provides header injection, sql injection, rce proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SQL Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'XSS']"
blackSQL,local_repos/blackSQL,No,,"RCE, SQL Injection","This repository provides ssrf, sql injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'SQL Injection', 'LFI/RFI', 'Header Injection']"
nikto,local_repos/nikto,Yes,,"RCE, SQL Injection","This repository provides lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']"
EyeWitness,local_repos/EyeWitness,Yes,8,"RCE, SQL Injection","This repository provides rce, lfi/rfi, xss proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'XSS', 'SSRF', 'SQL Injection', 'Header Injection', 'Deserialization']"
BurpSuite-Xkeys,local_repos/BurpSuite-Xkeys,No,,Web Application,Security research repository - BurpSuite-Xkeys,[]
Nightingale,local_repos/Nightingale,Yes,1,"RCE, RFI","This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment on port 1 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE']"
Clouditerahub.io,local_repos/Clouditerahub.io,No,,RCE,"This repository provides xss, lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'SQL Injection', 'RCE', 'Header Injection', 'Deserialization']"
wfh45678_radar,local_repos/wfh45678_radar,No,,RCE,"This repository provides sql injection, ssrf, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'Header Injection', 'XSS', 'RCE', 'LFI/RFI']"
dcc,local_repos/dcc,No,,RCE,"This repository provides lfi/rfi, sql injection, deserialization proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'Deserialization', 'XSS', 'Header Injection', 'RCE']"
Phishious,local_repos/Phishious,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'Deserialization', 'Header Injection', 'RCE', 'Path Traversal']"
noVNC,local_repos/noVNC,No,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'Header Injection']"
ballcat,local_repos/ballcat,No,,RCE,"This repository provides ssrf, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'LFI/RFI', 'SQL Injection', 'XSS', 'Deserialization', 'RCE']"
JSFinderAAA,local_repos/JSFinderAAA,No,,LFI,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'SSRF', 'Path Traversal']"
msldap,local_repos/msldap,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'RCE', 'Header Injection', 'Path Traversal']"
frida-ios-hook,local_repos/frida-ios-hook,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'SSRF', 'SQL Injection', 'Path Traversal']"
blackjump,local_repos/blackjump,No,,RCE,"This repository provides xss, lfi/rfi, ssrf proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'SSRF', 'Path Traversal']"
BBTz,local_repos/BBTz,No,,RCE,"This repository provides ssrf, xss, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'RCE', 'Path Traversal', 'LFI/RFI', 'SQL Injection', 'Header Injection']"
ssr-bbr-docker,local_repos/ssr-bbr-docker,Yes,,RCE,This repository provides rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['RCE']
ngbdf_redis-manager,local_repos/ngbdf_redis-manager,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SQL Injection', 'XSS', 'SSRF']"
FastGPT,local_repos/FastGPT,Yes,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'RCE']"
cursor-talk-to-figma-mcp,local_repos/cursor-talk-to-figma-mcp,Yes,3055,RCE,"This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment on port 3055 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE', 'XSS']"
CMSeeK,local_repos/CMSeeK,Yes,,"RCE, Header Injection","This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'SQL Injection', 'XSS', 'Header Injection']"
JNDI-Inject-Exploit,local_repos/JNDI-Inject-Exploit,No,,"RCE, RFI","This repository provides header injection, rce proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE']"
Gotrip,local_repos/Gotrip,No,,RCE,"This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection']"
leetcode-java,local_repos/leetcode-java,No,,RCE,"This repository provides sql injection, lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'RCE', 'Path Traversal']"
gdb-frontend,local_repos/gdb-frontend,No,,RCE,"This repository provides lfi/rfi, rce, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection', 'SSRF', 'Path Traversal', 'XSS', 'SQL Injection', 'Deserialization']"
stefanoj3_dirstalk,local_repos/stefanoj3_dirstalk,Yes,,RCE,"This repository provides ssrf, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'LFI/RFI', 'RCE']"
ZeroScan,local_repos/ZeroScan,No,,RCE,"This repository provides xss, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SSRF', 'Path Traversal', 'SQL Injection', 'RCE', 'LFI/RFI']"
chitu,local_repos/chitu,Yes,,RCE,"This repository provides lfi/rfi, rce, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SQL Injection', 'SSRF', 'XSS', 'Header Injection', 'Path Traversal']"
pentest_tools,local_repos/pentest_tools,No,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'Path Traversal', 'SSRF', 'SQL Injection', 'XSS']"
qshell,local_repos/qshell,No,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'XSS']"
LeetCode-Go,local_repos/LeetCode-Go,No,,RCE,"This repository provides sql injection, lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'RCE', 'Path Traversal', 'Header Injection', 'XSS', 'SSRF']"
cloud-torrent,local_repos/cloud-torrent,Yes,,RCE,"This repository provides xss, lfi/rfi, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Header Injection']"
dvyukov_go-fuzz,local_repos/dvyukov_go-fuzz,No,,"RCE, LFI","This repository provides sql injection, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'Header Injection', 'XSS', 'RCE']"
ReaverAPKTools,local_repos/ReaverAPKTools,No,,RCE,"This repository provides rce, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'XSS', 'LFI/RFI', 'SQL Injection', 'Path Traversal']"
xunsearch,local_repos/xunsearch,Yes,8384,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment on port 8384 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'Deserialization', 'XSS', 'Header Injection']"
rangehttpserver,local_repos/rangehttpserver,No,,RCE,"This repository provides header injection, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'Path Traversal']"
zmap_zgrab2,local_repos/zmap_zgrab2,Yes,,RCE,"This repository provides lfi/rfi, xss, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SQL Injection', 'Header Injection', 'RCE', 'Path Traversal', 'SSRF']"
ast-scope,local_repos/ast-scope,No,,LFI/RFI,"This repository provides lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']"
docup,local_repos/docup,No,,XSS,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal']"
layout-ui,local_repos/layout-ui,No,,XSS,This repository provides xss proof-of-concept demonstrating web-based attack vectors.,['XSS']
JavaID,local_repos/JavaID,No,,"RCE, SSRF","This repository provides sql injection, deserialization, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'Deserialization', 'RCE']"
fastapi-admin,local_repos/fastapi-admin,Yes,8000,XSS,"This repository provides ssrf, xss, lfi/rfi proof-of-concept with Docker deployment on port 8000 demonstrating web-based attack vectors.","['SSRF', 'XSS', 'LFI/RFI', 'Path Traversal']"
beholder_scanner,local_repos/beholder_scanner,Yes,6379,RCE,"This repository provides sql injection, xss, rce proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'RCE', 'LFI/RFI', 'Path Traversal']"
pipx,local_repos/pipx,No,,RCE,"This repository provides rce, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'XSS', 'LFI/RFI', 'SSRF', 'Path Traversal']"
napkins,local_repos/napkins,No,,RCE,Security research repository - napkins,[]
ruffle,local_repos/ruffle,Yes,,RCE,"This repository provides header injection, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection', 'XSS', 'SSRF']"
vue-mall,local_repos/vue-mall,No,,RCE,"This repository provides ssrf, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Path Traversal', 'RCE', 'XSS']"
FuzzScanner,local_repos/FuzzScanner,No,,RCE,"This repository provides header injection, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'SSRF', 'LFI/RFI', 'SQL Injection', 'XSS', 'Path Traversal']"
nogotofail,local_repos/nogotofail,No,,RCE,"This repository provides lfi/rfi, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE', 'SQL Injection', 'XSS', 'Path Traversal']"
sjr7_shoppingMall,local_repos/sjr7_shoppingMall,No,,RCE,"This repository provides ssrf, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection']"
cursor-tools,local_repos/cursor-tools,No,,RCE,"This repository provides sql injection, lfi/rfi, ssrf proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'SSRF', 'Path Traversal', 'XSS', 'RCE']"
SharpC2,local_repos/SharpC2,Yes,,RCE,"This repository provides xss, rce, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'RCE', 'Path Traversal']"
Life-Time-Tracker,local_repos/Life-Time-Tracker,No,,RCE,"This repository provides xss, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SSRF', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'Header Injection', 'Deserialization']"
datasploit,local_repos/datasploit,No,,RCE,"This repository provides xss, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'SSRF', 'Path Traversal', 'LFI/RFI', 'Header Injection']"
traxss,local_repos/traxss,Yes,,XSS,"This repository provides lfi/rfi, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection']"
gszfwsb_NCFM,local_repos/gszfwsb_NCFM,No,,SQL Injection,"This repository provides lfi/rfi, path traversal, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection']"
PromptWizard,local_repos/PromptWizard,No,,RCE,"This repository provides lfi/rfi, rce, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'XSS', 'Deserialization', 'SQL Injection', 'SSRF']"
nextly-template,local_repos/nextly-template,No,,RCE,"This repository provides lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']"
anx-reader,local_repos/anx-reader,No,,RCE,"This repository provides ssrf, rce, xss proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'Header Injection']"
qiniu_qshell,local_repos/qiniu_qshell,No,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'XSS']"
markdown-to-image,local_repos/markdown-to-image,No,,RCE,"This repository provides header injection, xss, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'XSS', 'SSRF']"
EtherGhost,local_repos/EtherGhost,No,,"RCE, XSS","This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'Header Injection', 'SQL Injection']"
netease-youdao_QAnything,local_repos/netease-youdao_QAnything,Yes,,"RCE, RFI","This repository provides rce, ssrf, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SSRF', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal', 'XSS']"
pdf-to-podcast,local_repos/pdf-to-podcast,Yes,6379,RCE,"This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE', 'SQL Injection', 'Path Traversal', 'XSS']"
Nuages,local_repos/Nuages,No,,RCE,"This repository provides rce, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Path Traversal', 'LFI/RFI', 'Header Injection', 'SSRF', 'XSS']"
Fuzzing-Survey,local_repos/Fuzzing-Survey,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'RCE', 'Header Injection']"
PixivUtil2,local_repos/PixivUtil2,Yes,,"RCE, SQL Injection","This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'Header Injection', 'XSS', 'SSRF']"
Richsploit,local_repos/Richsploit,No,,RCE,This repository provides rce proof-of-concept demonstrating web-based attack vectors.,['RCE']
revbshell,local_repos/revbshell,No,,RCE,"This repository provides header injection, rce proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE']"
argo-workflows,local_repos/argo-workflows,Yes,,RCE,"This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'XSS', 'Header Injection', 'Path Traversal', 'SSRF']"
jianchang512_clone-voice,local_repos/jianchang512_clone-voice,Yes,,RCE,"This repository provides rce, sql injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'SSRF', 'Path Traversal', 'XSS', 'LFI/RFI', 'Header Injection']"
op1repacker,local_repos/op1repacker,No,,RCE,"This repository provides rce, path traversal, sql injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Path Traversal', 'SQL Injection']"
kiterunner,local_repos/kiterunner,No,,RCE,"This repository provides header injection, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SSRF', 'LFI/RFI', 'SQL Injection', 'Path Traversal', 'RCE']"
projectdiscovery_uncover,local_repos/projectdiscovery_uncover,Yes,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'Header Injection']"
testssl_testssl.sh,local_repos/testssl_testssl.sh,Yes,,"RCE, RFI","This repository provides lfi/rfi, sql injection, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'Header Injection', 'RCE', 'Path Traversal']"
mini-kali,local_repos/mini-kali,Yes,,RCE,Security research repository - mini-kali,[]
BypassAV-Online,local_repos/BypassAV-Online,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'Path Traversal']"
GRFICSv2,local_repos/GRFICSv2,Yes,,RFI,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection', 'Header Injection']"
Struts2scan,local_repos/Struts2scan,No,,RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'Path Traversal']"
nashcontrol_bounty-monitor,local_repos/nashcontrol_bounty-monitor,Yes,,SQL Injection,This repository provides sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['SQL Injection']
ghidra-evm,local_repos/ghidra-evm,No,,SQL Injection,"This repository provides ssrf, sql injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'SQL Injection', 'LFI/RFI', 'Path Traversal']"
gonet2_geoip,local_repos/gonet2_geoip,Yes,50000,RFI,Security research repository - gonet2_geoip,[]
FlowAnalysisDocker,local_repos/FlowAnalysisDocker,Yes,1800,RFI,Security research repository - FlowAnalysisDocker,[]
outline,local_repos/outline,Yes,6379,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS']"
spring-boot-demo,local_repos/spring-boot-demo,Yes,,RCE,"This repository provides sql injection, header injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'Header Injection', 'SSRF', 'XSS', 'RCE', 'LFI/RFI', 'Path Traversal']"
fingerprint,local_repos/fingerprint,No,,RCE,"This repository provides xss, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Path Traversal', 'LFI/RFI', 'Header Injection', 'RCE', 'SQL Injection']"
RequestRecorder,local_repos/RequestRecorder,No,,SQL Injection,"This repository provides ssrf, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'XSS', 'LFI/RFI']"
wewe-rss,local_repos/wewe-rss,Yes,8,SQL Injection,"This repository provides xss, ssrf, lfi/rfi proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['XSS', 'SSRF', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']"
lokomotive,local_repos/lokomotive,Yes,,RCE,"This repository provides lfi/rfi, path traversal, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection', 'SQL Injection', 'RCE', 'XSS', 'SSRF']"
js-ipfs,local_repos/js-ipfs,No,,RCE,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'XSS', 'Header Injection', 'RCE', 'SQL Injection']"
NagaScan,local_repos/NagaScan,No,,"RCE, SQL Injection","This repository provides sql injection, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'Path Traversal', 'XSS', 'LFI/RFI', 'RCE', 'Header Injection']"
smartping,local_repos/smartping,No,,RCE,"This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'Deserialization']"
Starmap,local_repos/Starmap,No,,RCE,"This repository provides lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection']"
bytedance_appshark,local_repos/bytedance_appshark,No,,"RCE, RFI","This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SQL Injection']"
YCAndroidTool,local_repos/YCAndroidTool,No,,"RCE, LFI","This repository provides lfi/rfi, rce, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection']"
ZigStrike,local_repos/ZigStrike,No,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'XSS']"
cf-warp,local_repos/cf-warp,Yes,,RCE,"This repository provides lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']"
deepfence_SecretScanner,local_repos/deepfence_SecretScanner,Yes,,"RCE, RFI","This repository provides rce, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'LFI/RFI']"
WindowsSpyBlocker,local_repos/WindowsSpyBlocker,Yes,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'XSS']"
Mistica,local_repos/Mistica,Yes,,RCE,"This repository provides sql injection, rce, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'Header Injection', 'LFI/RFI']"
PoC-Exploits,local_repos/PoC-Exploits,No,,SQL Injection,"This repository provides sql injection, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'Header Injection', 'SSRF']"
sicklepoc,local_repos/sicklepoc,No,,RCE,"This repository provides lfi/rfi, path traversal, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'XSS', 'Header Injection', 'SQL Injection', 'RCE', 'Deserialization', 'SSRF']"
apache_rocketmq,local_repos/apache_rocketmq,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Header Injection', 'Deserialization', 'XSS', 'SQL Injection', 'SSRF']"
Awesome-RCE-techniques,local_repos/Awesome-RCE-techniques,Yes,,RCE,"This repository provides lfi/rfi, sql injection, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'RCE', 'SSRF', 'Path Traversal', 'Deserialization']"
Integuru,local_repos/Integuru,No,,RCE,This repository provides lfi/rfi proof-of-concept demonstrating web-based attack vectors.,['LFI/RFI']
DasSecurity-HatLab_AoiAWD,local_repos/DasSecurity-HatLab_AoiAWD,Yes,27017,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment on port 27017 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Header Injection', 'SSRF', 'XSS']"
beekeeper-studio,local_repos/beekeeper-studio,Yes,6379,"RCE, SQL Injection","This repository provides lfi/rfi, sql injection, xss proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'Path Traversal', 'RCE', 'SSRF', 'Header Injection']"
t-io,local_repos/t-io,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'SSRF', 'XSS', 'Header Injection']"
BlueSea,local_repos/BlueSea,No,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']"
merlin,local_repos/merlin,Yes,,RCE,"This repository provides lfi/rfi, header injection, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE']"
loopback4-ratelimiter,local_repos/loopback4-ratelimiter,No,,"RCE, Auth Bypass","This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection']"
social-media-copilot,local_repos/social-media-copilot,No,,XSS,This repository provides xss proof-of-concept demonstrating web-based attack vectors.,['XSS']
ray-project_ray,local_repos/ray-project_ray,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'Deserialization', 'XSS', 'SSRF', 'Header Injection']"
poc_exp,local_repos/poc_exp,No,,RCE,"This repository provides ssrf, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'RCE', 'Header Injection']"
UltimateCMSWordlists,local_repos/UltimateCMSWordlists,No,,RCE,This repository provides rce proof-of-concept demonstrating web-based attack vectors.,['RCE']
ICS-Security-Tools,local_repos/ICS-Security-Tools,No,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SQL Injection', 'Header Injection', 'XSS', 'Deserialization']"
zmap_zdns,local_repos/zmap_zdns,No,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SSRF', 'Header Injection', 'SQL Injection']"
